VMName,PortGroup
dc1-uts,PG_Voice_Servers
dc1-app,PG_Voice_Servers
dc1-sip1,PG_Voice_Servers
dc1-sip2,PG_Voice_Servers
dc1-sip3,PG_Voice_Servers
dc1-sip4,PG_Voice_Servers
dc1-sip5,PG_Voice_Servers
dc1-sip6,PG_Voice_Servers
dc1-sip7,PG_Voice_Servers
dc1-sip8,PG_Voice_Servers
dc1-sip9,PG_Voice_Servers
dc1-sip98,PG_Voice_Servers
dc1-sms,PG_Voice_Servers
dc1-tts,PG_Voice_Servers
dc1-rapp,PG_Voice_Servers
dc1-ruts,PG_Voice_Servers
dc1-cweb2-vm,PG_Voice_Servers
dc1-cweb3-vm,PG_Voice_Servers
dc1-hweb-vm,PG_Voice_Servers
DC1-IPBX1,PG_Voice_Servers
DC1-IPBX2,PG_Voice_Servers
dc1-spn-cweb1,PG_Voice_Servers
dc1-spn-cweb2,PG_Voice_Servers
dc1-spn-hweb1,PG_Voice_Servers
SS1-WSHK-P-01,PG_DC1_Infrastructure1
